timestamp,device_id,data_type,data_value,numeric_value
2025-06-15 11:47:13,Station_C,146,390,390.0
2025-06-15 11:47:14,Station_B,190,523,523.0
2025-06-15 11:47:15,Station_A,125,488,488.0
2025-06-15 11:47:16,Station_B,132,541,541.0
2025-06-15 11:47:17,Station_B,44,463,463.0
2025-06-15 11:47:18,Station_B,107,324,324.0
2025-06-15 11:47:19,Station_A,112,480,480.0
2025-06-15 11:47:20,Station_A,164,498,498.0
2025-06-15 11:47:21,Station_B,195,392,392.0
2025-06-15 11:47:22,Station_C,29,333,333.0
2025-06-15 11:47:23,Station_C,55,586,586.0
2025-06-15 11:47:24,Station_C,130,466,466.0
2025-06-15 11:47:25,Station_B,174,374,374.0
2025-06-15 11:47:26,Station_C,104,476,476.0
2025-06-15 11:47:27,Station_B,58,404,404.0
2025-06-15 11:47:28,Station_B,87,537,537.0
2025-06-15 11:47:29,Station_B,134,440,440.0
2025-06-15 11:47:30,Station_B,198,389,389.0
2025-06-15 11:47:32,Station_A,56,484,484.0
2025-06-15 11:47:33,Station_A,166,434,434.0
2025-06-15 11:47:34,Station_B,173,368,368.0
2025-06-15 11:47:35,Station_B,47,424,424.0
2025-06-15 11:47:36,Station_A,14,445,445.0
2025-06-15 11:47:37,Station_B,182,367,367.0
2025-06-15 11:47:38,Station_B,167,324,324.0
2025-06-15 11:47:39,Station_A,154,396,396.0
2025-06-15 11:47:40,Station_C,148,303,303.0
2025-06-15 11:47:41,Station_A,42,422,422.0
2025-06-15 11:47:42,Station_A,159,451,451.0
2025-06-15 11:47:43,Station_C,26,496,496.0
2025-06-15 11:47:44,Station_B,72,427,427.0
2025-06-15 11:47:45,Station_C,138,479,479.0
2025-06-15 11:47:46,Station_C,176,470,470.0
2025-06-15 11:47:47,Station_B,130,306,306.0
2025-06-15 11:47:48,Station_C,52,384,384.0
2025-06-15 11:47:49,Station_A,53,413,413.0
2025-06-15 11:47:50,Station_A,188,520,520.0
2025-06-15 11:47:51,Station_C,137,318,318.0
2025-06-15 11:47:52,Station_C,20,477,477.0
2025-06-15 11:47:53,Station_C,113,510,510.0
2025-06-15 11:47:54,Station_B,175,307,307.0
2025-06-15 11:47:55,Station_B,21,396,396.0
2025-06-15 11:47:56,Station_C,38,509,509.0
2025-06-15 11:47:57,Station_C,83,585,585.0
2025-06-15 11:47:58,Station_C,101,538,538.0
2025-06-15 11:47:59,Station_A,72,327,327.0
2025-06-15 11:48:00,Station_B,196,307,307.0
2025-06-15 11:48:01,Station_A,89,461,461.0
2025-06-15 11:48:02,Station_A,127,542,542.0
2025-06-15 11:48:03,Station_A,99,481,481.0
2025-06-15 11:48:04,Station_C,165,416,416.0
2025-06-15 11:48:05,Station_B,30,536,536.0
2025-06-15 11:48:06,Station_C,193,311,311.0
2025-06-15 11:48:07,Station_B,51,524,524.0
2025-06-15 11:48:09,Station_C,34,438,438.0
2025-06-15 11:48:10,Station_B,56,552,552.0
2025-06-15 11:48:11,Station_B,51,450,450.0
2025-06-15 11:48:12,Station_C,67,441,441.0
2025-06-15 11:48:13,Station_C,75,309,309.0
2025-06-15 11:48:14,Station_C,151,510,510.0
2025-06-15 11:48:15,Station_C,7,423,423.0
2025-06-15 11:48:16,Station_A,167,573,573.0
2025-06-15 11:48:17,Station_C,105,392,392.0
2025-06-15 11:48:18,Station_C,191,545,545.0
2025-06-15 11:48:19,Station_B,146,396,396.0
2025-06-15 11:48:20,Station_B,88,317,317.0
2025-06-15 11:48:21,Station_B,180,415,415.0
2025-06-15 11:48:22,Station_C,155,502,502.0
2025-06-15 11:48:23,Station_B,28,545,545.0
2025-06-15 11:48:24,Station_B,181,338,338.0
2025-06-15 11:48:25,Station_B,50,351,351.0
2025-06-15 11:48:26,Station_B,103,423,423.0
2025-06-15 11:48:27,Station_B,28,562,562.0
2025-06-15 11:48:28,Station_B,138,433,433.0
2025-06-15 11:48:29,Station_C,59,568,568.0
2025-06-15 11:48:30,Station_B,41,596,596.0
2025-06-15 11:48:31,Station_A,26,424,424.0
2025-06-15 11:48:32,Station_A,110,385,385.0
2025-06-15 11:48:33,Station_B,147,416,416.0
2025-06-15 11:48:34,Station_C,13,318,318.0
2025-06-15 11:48:35,Station_C,178,516,516.0
2025-06-15 11:48:36,Station_B,102,328,328.0
2025-06-15 11:48:37,Station_C,33,337,337.0
2025-06-15 11:48:38,Station_A,78,576,576.0
2025-06-15 11:48:39,Station_B,40,351,351.0
2025-06-15 11:48:40,Station_B,155,425,425.0
2025-06-15 11:48:41,Station_B,96,425,425.0
2025-06-15 11:48:42,Station_A,106,566,566.0
2025-06-15 11:48:43,Station_A,150,451,451.0
2025-06-15 11:48:44,Station_A,71,438,438.0
2025-06-15 11:48:45,Station_B,36,310,310.0
2025-06-15 11:48:47,Station_C,99,578,578.0
2025-06-15 11:48:48,Station_C,120,340,340.0
2025-06-15 11:48:49,Station_C,180,340,340.0
2025-06-15 11:48:50,Station_C,55,552,552.0
2025-06-15 11:48:51,Station_A,8,592,592.0
2025-06-15 11:48:52,Station_C,113,448,448.0
2025-06-15 11:48:53,Station_C,175,461,461.0
2025-06-15 11:48:54,Station_A,84,536,536.0
2025-06-15 11:48:55,Station_B,124,322,322.0
